book_title;book_author;book_publishing;book_new_price;book_old_price;book_discount;book_status 
С/С++ Процедурное программирование;Полубенцева М. И.;BHV : Внесерийная;921;1316;30;На складе
Разработка веб-приложений с использованием AngularJS;Козловский Павел;Нет издательства;928;1325;30;На складе
Изучай Haskell во имя добра!;Липовача Миран;Нет издательства;1070;1529;30;На складе
Как написать безопасный код на С++, Java, Perl, PHP, ASP.NET;Ховард Майкл;Нет издательства;717;1024;30;На складе
Как программировать на С;Дейтел Харви;Нет издательства;1306;1866;30;На складе
Zend Framework 2.0 разработка веб-приложений;Шасанкар Кришна;Питер : Библиотека программиста;455;583;22;На складе
Разработка приложений для Windows Phone. Архитектура, фреймворки, API;Гецманн Патрик;Нет издательства;1071;1530;30;На складе
Наиболее эффективное использование С++. 35 новых рекомендаций  по улучшению ваших программ;Мейерс Скотт;ДМК-Пресс : Для программистов;717;1024;30;На складе
Дизайн и эволюция языка С++;Страуструп Бьерн;ДМК-Пресс : Для программистов;789;1127;30;На складе
Основы теории вейвлетов. Вейвлеты в MATLAB;Смоленцев Николай Константинович;ДМК-Пресс : Математика и Matlab;1113;1590;30;Ограничено
Теория вычислений для программистов;Стюарт Том;ДМК-Пресс : Теория программирования;928;1325;30;На складе
Алгоритмы и структуры данных. Новая версия для Оберона;Вирт Никлаус;ДМК-Пресс : Классика программирования;680;971;30;На складе
Google App Engine Java и Google Web Toolkit. Разработка Web-приложений;Машнин Тимур Сергеевич;BHV : Профессиональное программирование;463;662;30;Ограничено
R в действии. Анализ и визуализация данных на языке R;Кабаков Роберт И.;Нет издательства;1142;1631;30;На складе
Оптимизация приложений на платформе .Net;Голдштейн Саша;Нет издательства;1285;1835;30;На складе
Изучаем HTML, XHTML и CSS;Робсон Элизабет;Питер : Head First (O'Reilly);2172;2785;22;На складе
Visuai Basic в задачах и примерах;Сафронов Игорь Константинович;BHV : В задачах и примерах;232;332;30;На складе
CLR via C#. Программирование на платформе Microsoft .NET Framework 4.5 на языке C#. 4-е издание;Рихтер Джеффри;Питер : Мастер-класс;1779;2281;22;На складе
LabVIEW. Практический курс для инженеров и разработчиков;Магда Юрий Степанович;ДМК-Пресс : Все о LabVIEW;438;626;30;На складе
Практика программирования на языке Паскаль. Задачи и решения;Медведик Владимир Иванович;Нет издательства;999;1427;30;На складе
Visual FoxPro 9.0. Учебный курс;Нет автора;Нет издательства;533;761;30;На складе
Программирование для школьников и студентов. Учебное пособие;Колесов Вадим Владимирович;Феникс : Абитуриент;183;234;22;На складе
Создание облачных и мобильных приложений на языке F#;Мол Дэниел;ДМК-Пресс : Функциональное программирование;579;827;30;На складе
jQuery Mobile. Разработка приложений для смартфонов и планшетов;Фиртман Максимилиано;Нет издательства;291;415;30;На складе
Dart в действии;Баккет Крис;Нет издательства;1142;1631;30;На складе
Архитектура компьютера;Таненбаум Эндрю;Питер : Классика computer science;1494;1915;22;На складе
Принципы построения, применения и проектирования компьютерной платформы U-SYS;Росляков Александр Владимирович;Солон-пресс : Библиотека студента;290;414;30;На складе
Разработка приложений Java EE 6 в NetBeans 7;Хеффельфингер Дэвид;Нет издательства;856;1223;30;Ограничено
Курс практического программирования в Delphi. Объектно – ориентированное программирование. Практикум;Санников Е. В.;Солон-пресс : Элективный курс. Профильное обучение;602;860;30;На складе
Программирование микроконтроллеров ATMEL на языке C (+CD);Прокопенко Вадим Сергеевич;Нет издательства;762;1088;30;На складе
Введение в теорию языков программирования;Довек Жиль;Нет издательства;438;626;30;На складе
Программирование. Учебник;Иванова Галина Сергеевна;Кнорус : Бакалавриат;998;1425;30;На складе
MUMPS СУБД Практика применения и опыт программирования;Каратаев Евгений Анатольевич;Солон-пресс : Библиотека профессионала;1028;1469;30;Ограничено
Spring в действии;Уоллс Крейг;ДМК-Пресс : Программирование в действии;1428;2040;30;На складе
Программирование на языке Go. Разработка приложений XXI века;Саммерфильд Марк;ДМК-Пресс : Профессиональное программирование;1285;1835;30;На складе
C++ AMP. Построение массивно параллельных программ с помощью Microsoft Visual C++;Грегори Кейт;Нет издательства;1113;1590;30;На складе
Оптимизация производительности приложений для iOS. Для профессионалов;Во Ханг;Нет издательства;789;1127;30;На складе
Асинхронное программирование в C# 5.0;Дэвис Алекс;Нет издательства;369;527;30;На складе
TV-приемники на шасси VESTEL 11АКхх. Телевизионные шасси 11АК20, 11АК30, 11АК36, РТ-92 (+CD);Безверхний И. Б.;Нет издательства;256;366;30;Ограничено
Жемчужины проектирования алгоритмов. Функциональный подход. С примерами на языке Haskell;Бёрд Ричард;Нет издательства;856;1223;30;На складе
Программируем микрокомпьютер NXT в LabVIEW;Белиовская Лидия Георгиевна;ДМК-Пресс : Все о LabVIEW;510;728;30;На складе
ATDD. Разработка программного обеспечения через приемочные тесты. Практический подход;Гэртнер Маркус;Нет издательства;789;1127;30;На складе
Основы работы с технологией CUDA;Боресков Алексей Викторович;Нет издательства;579;827;30;На складе
Семь баз данных за семь недель. Введение в современные базы данных и идеологию NoSQL;Редмонд Эрик;Нет издательства;999;1427;30;На складе
Дневник охотника за ошибками. Путешествие через джунгли проблем безопасности программного обеспеч.;Клейн Тобиас;Нет издательства;717;1024;30;На складе
Изучаем программирование для iPAD. Практич. руководство по созданию приложений для iPAD с ОС iOS 5;Тэрнер Кирби;Нет издательства;1028;1468;30;На складе
Программирование для Windows на С/С++. В 2-х томах. Том 2;Мартынов Николай Николаевич;Нет издательства;258;369;30;На складе
Создание web-приложений в Silverlight;Буньон Лоран;Нет издательства;713;1018;30;На складе
Скользкие места С++. Как избежать проблем  при проектировании и компиляции ваших программ;Дьюхэрст Стефан К.;ДМК-Пресс : Профессиональная серия от Addison-Wesley;649;927;30;На складе
Цифровая обработка сигналов. Моделирование в Simulink;Солонина Алла Ивановна;BHV : Учебное пособие;427;610;30;На складе
XSLT. Сборник рецептов;Мангано Сэл;Нет издательства;777;1110;30;На складе
Основы Microsoft Visual Studio .NET 2003;Джонсон Брайан;Русская редакция : Фундаментальные знания;234;334;30;На складе
Средства информатизации. Телекоммуникационные технологии;Могилев Александр Владимирович;BHV : Информатика и ИКТ;254;363;30;Ограничено
iPhone. Разработка приложений с открытым кодом;Здзиарски Джонатан;BHV : Бестселлеры O`Reilly;280;400;30;Ограничено
Курс программирования на языке Си. Учебник;Подбельский Вадим Валерьевич;Нет издательства;897;1282;30;На складе
Профессиональное программирование приложений для iPhone и iPad;Баклин Джин;Эксмо : Мировой компьютерный бестселлер;1026;1316;22;На складе
Программирование в Erlang;Томпсон Саймон;ДМК-Пресс : Функциональное программирование;1113;1590;30;На складе
Программирование для студентов и школьников на примере Small Basic;Ахметов Ильдар Геннадьевич;BHV : Информатика и ИКТ;166;237;30;На складе
Silverlight. Практическое руководство;Браун Пит;Нет издательства;1332;1708;22;На складе
PHP. Создание динамических страниц;Пауэрс Дэвид;Рид Групп : Веб-технологии;1061;Нет старой цены;Нет скидки;На складе
С/С++ Процедурное программирование;Полубенцева М. И.;BHV : Внесерийная;921;1316;30;На складе;Разработка веб-приложений с использованием AngularJS;Козловский Павел;Нет издательства;928;1325;30;На складе;Изучай Haskell во имя добра!;Липовача Миран;Нет издательства;1070;1529;30;На складе;Как написать безопасный код на С++, Java, Perl, PHP, ASP.NET;Ховард Майкл;Нет издательства;717;1024;30;На складе;Как программировать на С;Дейтел Харви;Нет издательства;1306;1866;30;На складе;Zend Framework 2.0 разработка веб-приложений;Шасанкар Кришна;Питер : Библиотека программиста;455;583;22;На складе;Разработка приложений для Windows Phone. Архитектура, фреймворки, API;Гецманн Патрик;Нет издательства;1071;1530;30;На складе;Наиболее эффективное использование С++. 35 новых рекомендаций  по улучшению ваших программ;Мейерс Скотт;ДМК-Пресс : Для программистов;717;1024;30;На складе;Дизайн и эволюция языка С++;Страуструп Бьерн;ДМК-Пресс : Для программистов;789;1127;30;На складе;Основы теории вейвлетов. Вейвлеты в MATLAB;Смоленцев Николай Константинович;ДМК-Пресс : Математика и Matlab;1113;1590;30;Ограничено;Теория вычислений для программистов;Стюарт Том;ДМК-Пресс : Теория программирования;928;1325;30;На складе;Алгоритмы и структуры данных. Новая версия для Оберона;Вирт Никлаус;ДМК-Пресс : Классика программирования;680;971;30;На складе;Google App Engine Java и Google Web Toolkit. Разработка Web-приложений;Машнин Тимур Сергеевич;BHV : Профессиональное программирование;463;662;30;Ограничено;R в действии. Анализ и визуализация данных на языке R;Кабаков Роберт И.;Нет издательства;1142;1631;30;На складе;Оптимизация приложений на платформе .Net;Голдштейн Саша;Нет издательства;1285;1835;30;На складе;Изучаем HTML, XHTML и CSS;Робсон Элизабет;Питер : Head First (O'Reilly);2172;2785;22;На складе;Visuai Basic в задачах и примерах;Сафронов Игорь Константинович;BHV : В задачах и примерах;232;332;30;На складе;CLR via C#. Программирование на платформе Microsoft .NET Framework 4.5 на языке C#. 4-е издание;Рихтер Джеффри;Питер : Мастер-класс;1779;2281;22;На складе;LabVIEW. Практический курс для инженеров и разработчиков;Магда Юрий Степанович;ДМК-Пресс : Все о LabVIEW;438;626;30;На складе;Практика программирования на языке Паскаль. Задачи и решения;Медведик Владимир Иванович;Нет издательства;999;1427;30;На складе;Visual FoxPro 9.0. Учебный курс;Нет автора;Нет издательства;533;761;30;На складе;Программирование для школьников и студентов. Учебное пособие;Колесов Вадим Владимирович;Феникс : Абитуриент;183;234;22;На складе;Создание облачных и мобильных приложений на языке F#;Мол Дэниел;ДМК-Пресс : Функциональное программирование;579;827;30;На складе;jQuery Mobile. Разработка приложений для смартфонов и планшетов;Фиртман Максимилиано;Нет издательства;291;415;30;На складе;Dart в действии;Баккет Крис;Нет издательства;1142;1631;30;На складе;Архитектура компьютера;Таненбаум Эндрю;Питер : Классика computer science;1494;1915;22;На складе;Принципы построения, применения и проектирования компьютерной платформы U-SYS;Росляков Александр Владимирович;Солон-пресс : Библиотека студента;290;414;30;На складе;Разработка приложений Java EE 6 в NetBeans 7;Хеффельфингер Дэвид;Нет издательства;856;1223;30;Ограничено;Курс практического программирования в Delphi. Объектно – ориентированное программирование. Практикум;Санников Е. В.;Солон-пресс : Элективный курс. Профильное обучение;602;860;30;На складе;Программирование микроконтроллеров ATMEL на языке C (+CD);Прокопенко Вадим Сергеевич;Нет издательства;762;1088;30;На складе;Введение в теорию языков программирования;Довек Жиль;Нет издательства;438;626;30;На складе;Программирование. Учебник;Иванова Галина Сергеевна;Кнорус : Бакалавриат;998;1425;30;На складе;MUMPS СУБД Практика применения и опыт программирования;Каратаев Евгений Анатольевич;Солон-пресс : Библиотека профессионала;1028;1469;30;Ограничено;Spring в действии;Уоллс Крейг;ДМК-Пресс : Программирование в действии;1428;2040;30;На складе;Программирование на языке Go. Разработка приложений XXI века;Саммерфильд Марк;ДМК-Пресс : Профессиональное программирование;1285;1835;30;На складе;C++ AMP. Построение массивно параллельных программ с помощью Microsoft Visual C++;Грегори Кейт;Нет издательства;1113;1590;30;На складе;Оптимизация производительности приложений для iOS. Для профессионалов;Во Ханг;Нет издательства;789;1127;30;На складе;Асинхронное программирование в C# 5.0;Дэвис Алекс;Нет издательства;369;527;30;На складе;TV-приемники на шасси VESTEL 11АКхх. Телевизионные шасси 11АК20, 11АК30, 11АК36, РТ-92 (+CD);Безверхний И. Б.;Нет издательства;256;366;30;Ограничено;Жемчужины проектирования алгоритмов. Функциональный подход. С примерами на языке Haskell;Бёрд Ричард;Нет издательства;856;1223;30;На складе;Программируем микрокомпьютер NXT в LabVIEW;Белиовская Лидия Георгиевна;ДМК-Пресс : Все о LabVIEW;510;728;30;На складе;ATDD. Разработка программного обеспечения через приемочные тесты. Практический подход;Гэртнер Маркус;Нет издательства;789;1127;30;На складе;Основы работы с технологией CUDA;Боресков Алексей Викторович;Нет издательства;579;827;30;На складе;Семь баз данных за семь недель. Введение в современные базы данных и идеологию NoSQL;Редмонд Эрик;Нет издательства;999;1427;30;На складе;Дневник охотника за ошибками. Путешествие через джунгли проблем безопасности программного обеспеч.;Клейн Тобиас;Нет издательства;717;1024;30;На складе;Изучаем программирование для iPAD. Практич. руководство по созданию приложений для iPAD с ОС iOS 5;Тэрнер Кирби;Нет издательства;1028;1468;30;На складе;Программирование для Windows на С/С++. В 2-х томах. Том 2;Мартынов Николай Николаевич;Нет издательства;258;369;30;На складе;Создание web-приложений в Silverlight;Буньон Лоран;Нет издательства;713;1018;30;На складе;Скользкие места С++. Как избежать проблем  при проектировании и компиляции ваших программ;Дьюхэрст Стефан К.;ДМК-Пресс : Профессиональная серия от Addison-Wesley;649;927;30;На складе;Цифровая обработка сигналов. Моделирование в Simulink;Солонина Алла Ивановна;BHV : Учебное пособие;427;610;30;На складе;XSLT. Сборник рецептов;Мангано Сэл;Нет издательства;777;1110;30;На складе;Основы Microsoft Visual Studio .NET 2003;Джонсон Брайан;Русская редакция : Фундаментальные знания;234;334;30;На складе;Средства информатизации. Телекоммуникационные технологии;Могилев Александр Владимирович;BHV : Информатика и ИКТ;254;363;30;Ограничено;iPhone. Разработка приложений с открытым кодом;Здзиарски Джонатан;BHV : Бестселлеры O`Reilly;280;400;30;Ограничено;Курс программирования на языке Си. Учебник;Подбельский Вадим Валерьевич;Нет издательства;897;1282;30;На складе;Профессиональное программирование приложений для iPhone и iPad;Баклин Джин;Эксмо : Мировой компьютерный бестселлер;1026;1316;22;На складе;Программирование в Erlang;Томпсон Саймон;ДМК-Пресс : Функциональное программирование;1113;1590;30;На складе;Программирование для студентов и школьников на примере Small Basic;Ахметов Ильдар Геннадьевич;BHV : Информатика и ИКТ;166;237;30;На складе;Silverlight. Практическое руководство;Браун Пит;Нет издательства;1332;1708;22;На складе;PHP. Создание динамических страниц;Пауэрс Дэвид;Рид Групп : Веб-технологии;1061;Нет старой цены;Нет скидки;На складе
Изучаем Java;Сьерра Кэтти;Эксмо : Мировой компьютерный бестселлер;1232;1579;22;На складе
Программирование и отладка С/С++ приложений для микроконтроллеров ARM;Магда Юрий Степанович;Нет издательства;510;728;30;На складе
Самоучитель Adobe Dreamweaver CS5.5;Дронов Владимир Александрович;BHV : Профессиональное программирование;254;363;30;На складе
Программируем на Python;Доусон Майкл;Нет издательства;1087;1393;22;На складе
LabVIEW в научных исследованиях;Евдокимов Юрий Кириллович;ДМК-Пресс : Все о LabVIEW;1070;1529;30;На складе
10 практических устройств на AVR-микроконтроллерах. Книга 1 (+CD);Кравченко Алексей Владимирович;Нет издательства;356;509;30;На складе
10 практических устройств на AVR-микроконтроллерах. Книга 2 (+CD);Кравченко Алексей Владимирович;Нет издательства;356;509;30;Ограничено
Применение Web-стандартов. CSS и Ajax для больших сайтов;Шмитт Кристофер;Нет издательства;288;411;30;На складе
Применение микроконтролеров PIC18. Архитектура, программирование с применением С и ассемблера (+CD);Брэй Барри;Нет издательства;958;1368;30;На складе
Радиолюбительские конструкции на PIC-микроконтроллерах. Книга 1 (+CD);Заец Николай Иванович;Нет издательства;452;645;30;На складе
Flex 4. Рецепты программирования;Ноубл Джошуа;BHV : Рецепты программирования;798;1140;30;На складе
Цифровая обработка сигналов на системном уровне с использованием LabVIEW (+CD);Кехтарнаваз Насер;Нет издательства;1322;1888;30;Ограничено
Структуры данных и алгоритмы в Java. Классика Computers Science;Лафоре Роберт;Питер : Классика computer science;1358;1741;22;На складе
1С: Предприятие 8.2. Коротко о главном. Новые возможности версии 8.2 (+CD);Радченко Максим Григорьевич;1С : 1С: Предприятие 8.2;240;343;30;На складе
"""1С.Предприятие 8"". Конвертация данных. Обмен данными между прикладными решениями (+CD)";Бояркин В.Э.;1С : 1С: Предприятие 8;233;333;30;На складе
"Как настраивать ""1С:Предприятие 8.2"" при внедрении (+СD)";Ажеронок Валентин Александрович;1С : 1С: Предприятие 8.2;233;333;30;На складе
Assembler. Для DOS, Windows и Unix;Зубков Сергей Владимирович;ДМК-Пресс : Для программистов;1070;1529;30;На складе
Программирование искусственного интеллекта в приложениях;Джонс М. Тим;ДМК-Пресс : Для программистов;717;1024;30;На складе
Постреляционная СУБД Cache 5. Объектно-ориентированная разработка приложений (+CD);Кирстен Вольфганг;Нет издательства;538;768;30;На складе
Программирование на алгоритмическом языке КуМир;Анеликова Людмила Александровна;Солон-пресс : Элективный курс. Профильное обучение;212;303;30;На складе
Функциональное программирование на F#;Сошников Дмитрий Валерьевич;Нет издательства;510;728;30;На складе
Нейросети и нейрокомпьютеры;Злобин Владимир Константинович;BHV : Учебное пособие;232;332;30;На складе
Введение в UML от создателей языка;Рамбо Джеймс;ДМК-Пресс : Классика программирования;897;1282;30;На складе
Технологии программирования на Java 2. Распределенные приложения;Дейтел Харви;Нет издательства;417;596;30;Ограничено
Совершенный код. Мастер-класс;Макконнелл Стив;Нет издательства;1271;1815;30;На складе
ASP.NET. Сборник рецептов (+CD);Агуров Павел Владимирович;BHV : Профессиональное программирование;370;528;30;На складе
Самоучитель PHP 5/6;Кузнецов Максим Валерьевич;BHV : Самоучитель;629;899;30;На складе
Разработка Web-портала в ASP.NET.2.0 и SharePoint 2007 (+CD);Гробов Игорь Дмитриевич;BHV : Профессиональное программирование;439;627;30;На складе
Ассемблер для Windows (+СD);Пирогов Владислав Юрьевич;BHV : Профессиональное программирование;519;742;30;На складе
Язык программирования Java и среда NetBeans (+DVD);Монахов Вадим Валерьевич;BHV : Мастер решений;531;759;30;На складе
C# 3.0. Справочник;Албахари Джозеф;BHV : Бестселлеры O`Reilly;593;847;30;Ограничено
Firebird: руководство разраб баз данных;Борри Хелен;BHV : В подлиннике;568;812;30;На складе
Методы программирования. Компьютерные вычисления;Могилев Александр Владимирович;BHV : Информатика и ИКТ;355;507;30;Ограничено
Самоучитель Silverlight 3;Дронов Владимир Александрович;BHV : Самоучитель;291;415;30;На складе
Windows Driver Foundation: разработка драйверов;Орвик Пенни;Нет издательства;718;1025;30;На складе
Microsoft ASP.NET 2.0. Базовый курс. Мастер-класс;Эспозито Дино;Нет издательства;697;893;22;На складе
Exchange Server 2010. Практическое руководство;Весселиус Яап;Нет издательства;739;1056;30;Ограничено
Современные микроконтроллеры. Архитектура, программирование, разработка устройств;Магда Юрий Степанович;Нет издательства;579;827;30;На складе
Объектно-ориентированное программирование в С++;Лафоре Роберт;Питер : Классика computer science;1630;2090;22;На складе
Рефакторинг в C# и ASP.NET для профессионалов;Арсеновски Даниэль;Диалектика : ;1601;2287;30;На складе
Шаблоны корпоративных приложений;Фаулер Мартин;Диалектика : ;3025;4322;30;На складе
Silverlight 4. Создание насыщенных Web-приложений;Байдачный Сергей Сергеевич;Солон-пресс : Библиотека профессионала;390;557;30;На складе
С++ для начинающих;Шилдт Герберт;Эком : Шаг за шагом;752;1074;30;На складе
Эффективная работа с унаследованным кодом;Физерс Майкл К.;Вильямс : ;2668;3811;30;Ограничено
Микрокомпьютерные системы управления. Первое знакомство;Суэмацу Есикадзу;Додека XXI век : ;579;827;30;На складе
Базы данных. Учебник;Кумскова Ирина Александровна;Кнорус : Среднее профессиональное образование;1376;1965;30;На складе
Введение в современные САПР. Курс лекций;Малюх Владимир Николаевич;ДМК-Пресс : САПР от А до Я;510;728;30;На складе
Периферийные устройства: интерфейсы, схемотехника, программирование;Авдеев Вадим Александрович;ДМК-Пресс : Все о радиоэлектронике;1285;1835;30;На складе
Разработка программного обеспечения: управление изменениями;Белладжио Дэвид;ДМК-Пресс : ;717;1024;30;Ограничено
PIC-микроконтроллеры: архитектура и программирование;Предко Майкл;ДМК-Пресс : ;856;1223;30;На складе
Silverlight 2. Технология создания интернет-приложений;Буньон Лоран;ДМК-Пресс : ;584;834;30;На складе
LabVIEW: стиль программирования;Блюм Питер;ДМК-Пресс : LabVIEW;649;927;30;На складе
Справочник по языку Haskell;Душкин Роман Викторович;ДМК-Пресс : ;928;1325;30;На складе
Matlab & Simulink. Проектирование мехатронных систем на ПК. Учебное пособие для ВУЗов (+CD);Герман-Галкин Сергей Германович;Корона-Принт : Учебное пособие;475;678;30;На складе
Pocket PC. Руководство разработчика;Крелль Брюс Е.;ДМК-Пресс : ;207;296;30;Ограничено
Аналоговые интерфейсы микроконтроллеров;Болл Стюарт Р.;Додека XXI век : Программируемые системы;856;1223;30;На складе
Visual C# 2.0.NET. Полное руководство;Прайс Дебора;Корона-Принт : ;648;925;30;На складе
Macromedia Authorware 6.0. Разработка мультимедийных учебных курсов;Гультяев Алексей Константинович;Корона-Принт : ;319;455;30;На складе
Компьютерное моделирование полупроводниковых систем в MatLab 6.0. Учебное пособие;Герман-Галкин Сергей Германович;Корона-Принт : Учебное пособие;361;516;30;На складе
Delphi 2006. Справочное пособие. Язык Delphi, классы, функции Win32 и .NET.;Архангельский Алексей Яковлевич;Бином : Для программистов и разработчиков;673;961;30;На складе
Изучаем Java;Сьерра Кэтти;Эксмо : Мировой компьютерный бестселлер;1232;1579;22;На складе;Программирование и отладка С/С++ приложений для микроконтроллеров ARM;Магда Юрий Степанович;Нет издательства;510;728;30;На складе;Самоучитель Adobe Dreamweaver CS5.5;Дронов Владимир Александрович;BHV : Профессиональное программирование;254;363;30;На складе;Программируем на Python;Доусон Майкл;Нет издательства;1087;1393;22;На складе;LabVIEW в научных исследованиях;Евдокимов Юрий Кириллович;ДМК-Пресс : Все о LabVIEW;1070;1529;30;На складе;10 практических устройств на AVR-микроконтроллерах. Книга 1 (+CD);Кравченко Алексей Владимирович;Нет издательства;356;509;30;На складе;10 практических устройств на AVR-микроконтроллерах. Книга 2 (+CD);Кравченко Алексей Владимирович;Нет издательства;356;509;30;Ограничено;Применение Web-стандартов. CSS и Ajax для больших сайтов;Шмитт Кристофер;Нет издательства;288;411;30;На складе;Применение микроконтролеров PIC18. Архитектура, программирование с применением С и ассемблера (+CD);Брэй Барри;Нет издательства;958;1368;30;На складе;Радиолюбительские конструкции на PIC-микроконтроллерах. Книга 1 (+CD);Заец Николай Иванович;Нет издательства;452;645;30;На складе;Flex 4. Рецепты программирования;Ноубл Джошуа;BHV : Рецепты программирования;798;1140;30;На складе;Цифровая обработка сигналов на системном уровне с использованием LabVIEW (+CD);Кехтарнаваз Насер;Нет издательства;1322;1888;30;Ограничено;Структуры данных и алгоритмы в Java. Классика Computers Science;Лафоре Роберт;Питер : Классика computer science;1358;1741;22;На складе;1С: Предприятие 8.2. Коротко о главном. Новые возможности версии 8.2 (+CD);Радченко Максим Григорьевич;1С : 1С: Предприятие 8.2;240;343;30;На складе;"""1С.Предприятие 8"". Конвертация данных. Обмен данными между прикладными решениями (+CD)";Бояркин В.Э.;1С : 1С: Предприятие 8;233;333;30;На складе;"Как настраивать ""1С:Предприятие 8.2"" при внедрении (+СD)";Ажеронок Валентин Александрович;1С : 1С: Предприятие 8.2;233;333;30;На складе;Assembler. Для DOS, Windows и Unix;Зубков Сергей Владимирович;ДМК-Пресс : Для программистов;1070;1529;30;На складе;Программирование искусственного интеллекта в приложениях;Джонс М. Тим;ДМК-Пресс : Для программистов;717;1024;30;На складе;Постреляционная СУБД Cache 5. Объектно-ориентированная разработка приложений (+CD);Кирстен Вольфганг;Нет издательства;538;768;30;На складе;Программирование на алгоритмическом языке КуМир;Анеликова Людмила Александровна;Солон-пресс : Элективный курс. Профильное обучение;212;303;30;На складе;Функциональное программирование на F#;Сошников Дмитрий Валерьевич;Нет издательства;510;728;30;На складе;Нейросети и нейрокомпьютеры;Злобин Владимир Константинович;BHV : Учебное пособие;232;332;30;На складе;Введение в UML от создателей языка;Рамбо Джеймс;ДМК-Пресс : Классика программирования;897;1282;30;На складе;Технологии программирования на Java 2. Распределенные приложения;Дейтел Харви;Нет издательства;417;596;30;Ограничено;Совершенный код. Мастер-класс;Макконнелл Стив;Нет издательства;1271;1815;30;На складе;ASP.NET. Сборник рецептов (+CD);Агуров Павел Владимирович;BHV : Профессиональное программирование;370;528;30;На складе;Самоучитель PHP 5/6;Кузнецов Максим Валерьевич;BHV : Самоучитель;629;899;30;На складе;Разработка Web-портала в ASP.NET.2.0 и SharePoint 2007 (+CD);Гробов Игорь Дмитриевич;BHV : Профессиональное программирование;439;627;30;На складе;Ассемблер для Windows (+СD);Пирогов Владислав Юрьевич;BHV : Профессиональное программирование;519;742;30;На складе;Язык программирования Java и среда NetBeans (+DVD);Монахов Вадим Валерьевич;BHV : Мастер решений;531;759;30;На складе;C# 3.0. Справочник;Албахари Джозеф;BHV : Бестселлеры O`Reilly;593;847;30;Ограничено;Firebird: руководство разраб баз данных;Борри Хелен;BHV : В подлиннике;568;812;30;На складе;Методы программирования. Компьютерные вычисления;Могилев Александр Владимирович;BHV : Информатика и ИКТ;355;507;30;Ограничено;Самоучитель Silverlight 3;Дронов Владимир Александрович;BHV : Самоучитель;291;415;30;На складе;Windows Driver Foundation: разработка драйверов;Орвик Пенни;Нет издательства;718;1025;30;На складе;Microsoft ASP.NET 2.0. Базовый курс. Мастер-класс;Эспозито Дино;Нет издательства;697;893;22;На складе;Exchange Server 2010. Практическое руководство;Весселиус Яап;Нет издательства;739;1056;30;Ограничено;Современные микроконтроллеры. Архитектура, программирование, разработка устройств;Магда Юрий Степанович;Нет издательства;579;827;30;На складе;Объектно-ориентированное программирование в С++;Лафоре Роберт;Питер : Классика computer science;1630;2090;22;На складе;Рефакторинг в C# и ASP.NET для профессионалов;Арсеновски Даниэль;Диалектика : ;1601;2287;30;На складе;Шаблоны корпоративных приложений;Фаулер Мартин;Диалектика : ;3025;4322;30;На складе;Silverlight 4. Создание насыщенных Web-приложений;Байдачный Сергей Сергеевич;Солон-пресс : Библиотека профессионала;390;557;30;На складе;С++ для начинающих;Шилдт Герберт;Эком : Шаг за шагом;752;1074;30;На складе;Эффективная работа с унаследованным кодом;Физерс Майкл К.;Вильямс : ;2668;3811;30;Ограничено;Микрокомпьютерные системы управления. Первое знакомство;Суэмацу Есикадзу;Додека XXI век : ;579;827;30;На складе;Базы данных. Учебник;Кумскова Ирина Александровна;Кнорус : Среднее профессиональное образование;1376;1965;30;На складе;Введение в современные САПР. Курс лекций;Малюх Владимир Николаевич;ДМК-Пресс : САПР от А до Я;510;728;30;На складе;Периферийные устройства: интерфейсы, схемотехника, программирование;Авдеев Вадим Александрович;ДМК-Пресс : Все о радиоэлектронике;1285;1835;30;На складе;Разработка программного обеспечения: управление изменениями;Белладжио Дэвид;ДМК-Пресс : ;717;1024;30;Ограничено;PIC-микроконтроллеры: архитектура и программирование;Предко Майкл;ДМК-Пресс : ;856;1223;30;На складе;Silverlight 2. Технология создания интернет-приложений;Буньон Лоран;ДМК-Пресс : ;584;834;30;На складе;LabVIEW: стиль программирования;Блюм Питер;ДМК-Пресс : LabVIEW;649;927;30;На складе;Справочник по языку Haskell;Душкин Роман Викторович;ДМК-Пресс : ;928;1325;30;На складе;Matlab & Simulink. Проектирование мехатронных систем на ПК. Учебное пособие для ВУЗов (+CD);Герман-Галкин Сергей Германович;Корона-Принт : Учебное пособие;475;678;30;На складе;Pocket PC. Руководство разработчика;Крелль Брюс Е.;ДМК-Пресс : ;207;296;30;Ограничено;Аналоговые интерфейсы микроконтроллеров;Болл Стюарт Р.;Додека XXI век : Программируемые системы;856;1223;30;На складе;Visual C# 2.0.NET. Полное руководство;Прайс Дебора;Корона-Принт : ;648;925;30;На складе;Macromedia Authorware 6.0. Разработка мультимедийных учебных курсов;Гультяев Алексей Константинович;Корона-Принт : ;319;455;30;На складе;Компьютерное моделирование полупроводниковых систем в MatLab 6.0. Учебное пособие;Герман-Галкин Сергей Германович;Корона-Принт : Учебное пособие;361;516;30;На складе;Delphi 2006. Справочное пособие. Язык Delphi, классы, функции Win32 и .NET.;Архангельский Алексей Яковлевич;Бином : Для программистов и разработчиков;673;961;30;На складе
